Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating
145-94-9061,b,mandalay,normal,female,food and beverages,88.36,5.0,22.09,463.89,19:48,cash,441.8,4.761904762,22.09,9.6
848-62-7243,a,yangon,normal,male,health and beauty,24.89,9.0,11.2005,235.2105,15:36,cash,224.01,4.761904762,11.2005,7.4
871-79-8483,b,mandalay,normal,male,fashion accessories,94.13,5.0,23.5325,494.1825,19:39,credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,b,mandalay,member,male,sports and travel,78.07,9.0,35.1315,737.7615,12:43,cash,702.63,4.761904762,35.1315,4.5
640-49-2076,b,mandalay,normal,male,sports and travel,83.78,8.0,33.512,703.752,14:49,cash,670.24,4.761904762,33.512,5.1
595-11-5460,a,yangon,normal,male,health and beauty,96.58,2.0,9.658,202.818,10:12,credit card,193.16,4.761904762,9.658,5.1
183-56-6882,c,naypyitaw,member,female,food and beverages,99.42,4.0,19.884,417.564,10:42,ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,c,naypyitaw,member,female,sports and travel,68.12,1.0,3.406,71.526,12:28,ewallet,68.12,4.761904762,3.406,6.8
129-29-8530,a,yangon,member,male,sports and travel,62.62,5.0,15.655,328.755,19:15,ewallet,313.1,4.761904762,15.655,7.0
272-65-1806,a,yangon,normal,female,electronic accessories,60.88,9.0,27.396,575.316,17:17,ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,c,naypyitaw,normal,female,health and beauty,54.92,8.0,21.968,461.328,13:24,ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,b,mandalay,member,male,home and lifestyle,30.12,8.0,12.048,253.008,13:01,cash,240.96,4.761904762,12.048,7.7
280-35-5823,b,mandalay,member,female,home and lifestyle,86.72,1.0,4.336,91.056,18:45,ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,c,naypyitaw,member,male,home and lifestyle,56.11,2.0,5.611,117.831,10:11,cash,112.22,4.761904762,5.611,6.3
354-25-5821,b,mandalay,member,female,sports and travel,69.12,6.0,20.736,435.456,13:03,cash,414.72,4.761904762,20.736,5.6
228-96-1411,c,naypyitaw,member,female,food and beverages,98.7,8.0,39.48,829.08,20:39,cash,789.6,4.761904762,39.48,7.6
617-15-4209,c,naypyitaw,member,male,health and beauty,15.37,2.0,1.537,32.277,19:47,cash,30.74,4.761904762,1.537,7.2
132-32-9879,b,mandalay,member,female,electronic accessories,93.96,4.0,18.792,394.632,18:00,cash,375.84,4.761904762,18.792,9.5
370-41-7321,b,mandalay,member,male,health and beauty,56.69,9.0,25.5105,535.7205,17:24,credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,b,mandalay,member,female,food and beverages,20.01,9.0,9.0045,189.0945,15:47,ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,b,mandalay,member,male,electronic accessories,18.93,6.0,5.679,119.259,12:45,credit card,113.58,4.761904762,5.679,8.1
574-22-5561,c,naypyitaw,member,female,fashion accessories,82.63,10.0,41.315,867.615,17:08,ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,c,naypyitaw,member,male,food and beverages,91.4,7.0,31.99,671.79,10:19,cash,639.8,4.761904762,31.99,9.5
162-48-8011,a,yangon,member,female,food and beverages,44.59,5.0,11.1475,234.0975,15:10,cash,222.95,4.761904762,11.1475,8.5
616-24-2851,b,mandalay,member,female,fashion accessories,17.87,4.0,3.574,75.054,14:42,ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,c,naypyitaw,member,male,fashion accessories,15.43,1.0,0.7715,16.2015,15:46,credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,b,mandalay,normal,male,home and lifestyle,16.16,2.0,1.616,33.936,11:49,ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,c,naypyitaw,normal,female,electronic accessories,85.98,8.0,34.392,722.232,19:01,cash,687.84,4.761904762,34.392,8.2
106-35-6779,a,yangon,member,male,home and lifestyle,44.34,2.0,4.434,93.114,11:26,cash,88.68,4.761904762,4.434,5.8
635-40-6220,a,yangon,normal,male,health and beauty,89.6,8.0,35.84,752.64,11:28,ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,a,yangon,member,female,home and lifestyle,72.35,10.0,36.175,759.675,15:55,cash,723.5,4.761904762,36.175,5.4
120-06-4233,c,naypyitaw,normal,male,electronic accessories,30.61,6.0,9.183,192.843,20:36,cash,183.66,4.761904762,9.183,9.3
285-68-5083,c,naypyitaw,member,female,sports and travel,24.74,3.0,3.711,77.931,17:47,credit card,74.22,4.761904762,3.711,10.0
803-83-5989,c,naypyitaw,normal,male,home and lifestyle,55.73,6.0,16.719,351.099,10:55,ewallet,334.38,4.761904762,16.719,7.0
347-34-2234,b,mandalay,member,female,sports and travel,55.07,9.0,24.7815,520.4115,13:40,ewallet,495.63,4.761904762,24.7815,10.0
199-75-8169,a,yangon,member,male,sports and travel,15.81,10.0,7.905,166.005,12:27,credit card,158.1,4.761904762,7.905,8.6
853-23-2453,b,mandalay,member,male,health and beauty,75.74,4.0,15.148,318.108,14:35,cash,302.96,4.761904762,15.148,7.6
877-22-3308,a,yangon,member,male,health and beauty,15.87,10.0,7.935,166.635,16:40,cash,158.7,4.761904762,7.935,5.8
838-78-4295,c,naypyitaw,normal,female,health and beauty,33.47,2.0,3.347,70.287,15:43,ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,b,mandalay,member,female,fashion accessories,97.61,6.0,29.283,614.943,15:01,ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,a,yangon,normal,male,sports and travel,78.77,10.0,39.385,827.085,10:04,cash,787.7,4.761904762,39.385,6.4
382-03-4532,a,yangon,member,female,health and beauty,18.33,1.0,0.9165,19.2465,18:50,cash,18.33,4.761904762,0.9165,4.3
393-65-2792,c,naypyitaw,normal,male,food and beverages,89.48,10.0,44.74,939.54,12:46,credit card,894.8,4.761904762,44.74,9.6
796-12-2025,c,naypyitaw,normal,male,fashion accessories,62.12,10.0,31.06,652.26,16:19,cash,621.2,4.761904762,31.06,5.9
510-95-6347,b,mandalay,member,female,food and beverages,48.52,3.0,7.278,152.838,18:17,ewallet,145.56,4.761904762,7.278,4.0
841-35-6630,c,naypyitaw,normal,female,electronic accessories,75.91,6.0,22.773,478.233,18:21,cash,455.46,4.761904762,22.773,8.7
287-21-9091,a,yangon,normal,male,home and lifestyle,74.67,9.0,33.6015,705.6315,10:55,ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,c,naypyitaw,normal,female,electronic accessories,41.65,10.0,20.825,437.325,17:04,credit card,416.5,4.761904762,20.825,5.4
263-10-3913,c,naypyitaw,member,male,fashion accessories,49.04,9.0,22.068,463.428,14:20,credit card,441.36,4.761904762,22.068,8.6
381-20-0914,a,yangon,member,female,fashion accessories,20.01,9.0,9.0045,189.0945,15:48,credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,c,naypyitaw,member,female,food and beverages,78.31,10.0,39.155,822.255,16:24,ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,c,naypyitaw,normal,female,health and beauty,20.38,5.0,5.095,106.995,18:56,cash,101.9,4.761904762,5.095,6.0
870-72-4431,c,naypyitaw,normal,female,health and beauty,99.19,6.0,29.757,624.897,14:42,credit card,595.14,4.761904762,29.757,5.5
847-38-7188,b,mandalay,normal,female,food and beverages,96.68,3.0,14.502,304.542,19:56,ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,c,naypyitaw,normal,male,food and beverages,19.25,8.0,7.7,161.7,18:37,ewallet,154.0,4.761904762,7.7,6.6
787-56-0757,c,naypyitaw,member,female,food and beverages,80.36,4.0,16.072,337.512,18:45,credit card,321.44,4.761904762,16.072,8.3
360-39-5055,c,naypyitaw,member,male,sports and travel,48.91,5.0,12.2275,256.7775,10:17,cash,244.55,4.761904762,12.2275,6.6
730-50-9884,c,naypyitaw,normal,female,sports and travel,83.06,7.0,29.071,610.491,14:31,ewallet,581.42,4.761904762,29.071,4.0
362-58-8315,c,naypyitaw,normal,male,fashion accessories,76.52,5.0,19.13,401.73,10:23,cash,382.6,4.761904762,19.13,9.9
633-44-8566,a,yangon,member,male,food and beverages,49.38,7.0,17.283,362.943,20:35,credit card,345.66,4.761904762,17.283,7.3
504-35-8843,a,yangon,normal,male,sports and travel,42.47,1.0,2.1235,44.5935,16:57,cash,42.47,4.761904762,2.1235,5.7
318-68-5053,b,mandalay,normal,female,health and beauty,76.99,6.0,23.097,485.037,17:55,cash,461.94,4.761904762,23.097,6.1
565-80-5980,c,naypyitaw,member,female,home and lifestyle,47.38,4.0,9.476,198.996,10:25,cash,189.52,4.761904762,9.476,7.1
225-32-0908,c,naypyitaw,normal,female,sports and travel,44.86,10.0,22.43,471.03,19:54,ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,a,yangon,member,female,sports and travel,21.98,7.0,7.693,161.553,16:42,ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,b,mandalay,member,male,health and beauty,64.36,9.0,28.962,608.202,12:09,credit card,579.24,4.761904762,28.962,8.6
512-91-0811,c,naypyitaw,normal,male,health and beauty,89.75,1.0,4.4875,94.2375,20:05,credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,a,yangon,normal,male,electronic accessories,97.16,1.0,4.858,102.018,20:38,ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,b,mandalay,normal,male,health and beauty,87.87,10.0,43.935,922.635,10:25,ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,c,naypyitaw,normal,female,electronic accessories,12.45,6.0,3.735,78.435,13:11,cash,74.7,4.761904762,3.735,4.1
865-92-6136,a,yangon,normal,male,food and beverages,52.75,3.0,7.9125,166.1625,10:16,ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,b,mandalay,normal,male,home and lifestyle,82.7,6.0,24.81,521.01,18:14,cash,496.2,4.761904762,24.81,7.4
163-56-7055,c,naypyitaw,member,male,fashion accessories,48.71,1.0,2.4355,51.1455,19:20,cash,48.71,4.761904762,2.4355,4.1
189-98-2939,c,naypyitaw,normal,male,fashion accessories,78.55,9.0,35.3475,742.2975,13:22,cash,706.95,4.761904762,35.3475,7.2
551-21-3069,c,naypyitaw,normal,female,electronic accessories,23.07,9.0,10.3815,218.0115,11:27,cash,207.63,4.761904762,10.3815,4.9
212-62-1842,a,yangon,normal,male,food and beverages,58.26,6.0,17.478,367.038,16:44,cash,349.56,4.761904762,17.478,9.9
716-39-1409,b,mandalay,normal,male,health and beauty,30.35,7.0,10.6225,223.0725,18:19,cash,212.45,4.761904762,10.6225,8.0
704-48-3927,a,yangon,member,male,electronic accessories,88.67,10.0,44.335,931.035,14:50,ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,c,naypyitaw,normal,male,fashion accessories,27.38,6.0,8.214,172.494,20:54,credit card,164.28,4.761904762,8.214,7.9
630-74-5166,a,yangon,normal,male,sports and travel,62.13,6.0,18.639,391.419,20:19,cash,372.78,4.761904762,18.639,7.4
588-01-7461,c,naypyitaw,normal,female,food and beverages,33.98,9.0,15.291,321.111,10:43,cash,305.82,4.761904762,15.291,4.2
861-77-0145,c,naypyitaw,member,male,electronic accessories,81.97,10.0,40.985,860.685,14:30,cash,819.7,4.761904762,40.985,9.2
479-26-8945,b,mandalay,member,female,sports and travel,16.49,2.0,1.649,34.629,11:32,ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,c,naypyitaw,member,female,health and beauty,98.21,3.0,14.7315,309.3615,10:41,credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,b,mandalay,normal,female,fashion accessories,72.84,7.0,25.494,535.374,12:44,cash,509.88,4.761904762,25.494,8.4
645-44-1170,a,yangon,member,male,home and lifestyle,58.07,9.0,26.1315,548.7615,20:07,ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,c,naypyitaw,member,female,home and lifestyle,80.79,9.0,36.3555,763.4655,20:31,credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,c,naypyitaw,normal,female,fashion accessories,27.02,3.0,4.053,85.113,13:01,credit card,81.06,4.761904762,4.053,7.1
291-32-1427,b,mandalay,member,male,fashion accessories,21.94,5.0,5.485,115.185,12:29,ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,b,mandalay,member,male,fashion accessories,51.36,1.0,2.568,53.928,15:26,ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,a,yangon,normal,female,food and beverages,10.96,10.0,5.48,115.08,20:48,ewallet,109.6,4.761904762,5.48,6.0
378-24-2715,b,mandalay,normal,male,home and lifestyle,53.44,2.0,5.344,112.224,20:38,ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,a,yangon,normal,female,electronic accessories,99.56,8.0,39.824,836.304,17:03,credit card,796.48,4.761904762,39.824,5.2
659-36-1684,c,naypyitaw,member,male,sports and travel,57.12,7.0,19.992,419.832,12:02,credit card,399.84,4.761904762,19.992,6.5
219-22-9386,b,mandalay,member,male,sports and travel,99.96,9.0,44.982,944.622,17:26,credit card,899.64,4.761904762,44.982,4.2
336-78-2147,c,naypyitaw,member,male,home and lifestyle,63.91,8.0,25.564,536.844,19:52,credit card,511.28,4.761904762,25.564,4.6
268-27-6179,b,mandalay,member,female,fashion accessories,56.47,8.0,22.588,474.348,14:57,ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,a,yangon,normal,female,home and lifestyle,93.69,7.0,32.7915,688.6215,18:44,credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,a,yangon,normal,female,sports and travel,32.25,5.0,8.0625,169.3125,13:26,cash,161.25,4.761904762,8.0625,9.0
189-08-9157,c,naypyitaw,normal,female,fashion accessories,31.73,9.0,14.2785,299.8485,16:17,credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,c,naypyitaw,member,female,food and beverages,68.54,8.0,27.416,575.736,15:57,ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,b,mandalay,normal,female,sports and travel,90.28,9.0,40.626,853.146,11:15,ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,b,mandalay,normal,female,fashion accessories,39.62,7.0,13.867,291.207,13:18,cash,277.34,4.761904762,13.867,7.5
802-70-5316,a,yangon,member,female,sports and travel,92.13,6.0,27.639,580.419,20:34,cash,552.78,4.761904762,27.639,8.3
695-51-0018,b,mandalay,normal,female,sports and travel,34.84,4.0,6.968,146.328,18:36,cash,139.36,4.761904762,6.968,7.4
590-83-4591,b,mandalay,member,male,electronic accessories,87.45,6.0,26.235,550.935,14:40,credit card,524.7,4.761904762,26.235,8.8
483-71-1164,c,naypyitaw,normal,female,health and beauty,81.3,6.0,24.39,512.19,16:43,ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,c,naypyitaw,normal,male,fashion accessories,90.22,3.0,13.533,284.193,19:39,cash,270.66,4.761904762,13.533,6.2
700-81-1757,a,yangon,normal,female,electronic accessories,26.31,5.0,6.5775,138.1275,20:59,credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,a,yangon,member,female,home and lifestyle,34.42,6.0,10.326,216.846,15:39,cash,206.52,4.761904762,10.326,9.8
241-72-9525,b,mandalay,normal,male,sports and travel,51.91,10.0,25.955,545.055,12:21,cash,519.1,4.761904762,25.955,8.2
575-30-8091,a,yangon,normal,male,sports and travel,72.5,8.0,29.0,609.0,19:25,ewallet,580.0,4.761904762,29.0,9.2
731-81-9469,c,naypyitaw,member,female,sports and travel,89.8,10.0,44.9,942.9,13:00,credit card,898.0,4.761904762,44.9,5.4
280-17-4359,c,naypyitaw,member,male,health and beauty,90.5,10.0,45.25,950.25,13:48,cash,905.0,4.761904762,45.25,8.1
338-65-2210,c,naypyitaw,member,female,health and beauty,68.6,10.0,34.3,720.3,19:57,cash,686.0,4.761904762,34.3,9.1
488-25-4221,c,naypyitaw,member,female,food and beverages,30.41,1.0,1.5205,31.9305,10:36,credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,a,yangon,normal,female,home and lifestyle,77.95,6.0,23.385,491.085,16:37,ewallet,467.7,4.761904762,23.385,8.0
458-41-1477,c,naypyitaw,normal,female,health and beauty,46.26,6.0,13.878,291.438,17:11,credit card,277.56,4.761904762,13.878,9.5
685-64-1609,a,yangon,member,female,fashion accessories,30.14,10.0,15.07,316.47,12:28,ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,c,naypyitaw,normal,male,health and beauty,66.14,4.0,13.228,277.788,12:46,credit card,264.56,4.761904762,13.228,5.6
262-47-2794,b,mandalay,member,male,home and lifestyle,71.86,8.0,28.744,603.624,15:07,credit card,574.88,4.761904762,28.744,6.2
238-49-0436,a,yangon,normal,male,health and beauty,32.46,8.0,12.984,272.664,13:48,credit card,259.68,4.761904762,12.984,4.9
608-96-3517,b,mandalay,member,female,fashion accessories,91.54,4.0,18.308,384.468,19:20,credit card,366.16,4.761904762,18.308,4.8
584-86-7256,c,naypyitaw,member,male,sports and travel,34.56,7.0,12.096,254.016,16:07,credit card,241.92,4.761904762,12.096,7.3
746-94-0204,a,yangon,normal,male,fashion accessories,83.24,9.0,37.458,786.618,11:56,credit card,749.16,4.761904762,37.458,7.4
214-17-6927,c,naypyitaw,normal,female,food and beverages,16.48,6.0,4.944,103.824,18:23,ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,c,naypyitaw,normal,female,sports and travel,80.97,8.0,32.388,680.148,13:05,cash,647.76,4.761904762,32.388,9.3
782-95-9291,a,yangon,member,male,food and beverages,92.29,5.0,23.0725,484.5225,15:55,credit card,461.45,4.761904762,23.0725,9.0
279-74-2924,b,mandalay,member,male,electronic accessories,72.17,1.0,3.6085,75.7785,19:40,cash,72.17,4.761904762,3.6085,6.1
307-85-2293,b,mandalay,normal,male,home and lifestyle,50.28,5.0,12.57,263.97,13:58,ewallet,251.4,4.761904762,12.57,9.7
743-04-1105,b,mandalay,member,male,health and beauty,97.22,9.0,43.749,918.729,14:43,ewallet,874.98,4.761904762,43.749,6.0
423-57-2993,b,mandalay,normal,male,sports and travel,93.39,6.0,28.017,588.357,19:18,ewallet,560.34,4.761904762,28.017,10.0
894-41-5205,c,naypyitaw,normal,female,food and beverages,43.18,8.0,17.272,362.712,19:39,credit card,345.44,4.761904762,17.272,8.3
275-28-0149,a,yangon,normal,male,sports and travel,63.69,1.0,3.1845,66.8745,16:21,cash,63.69,4.761904762,3.1845,6.0
101-17-6199,a,yangon,normal,male,food and beverages,45.79,7.0,16.0265,336.5565,19:44,credit card,320.53,4.761904762,16.0265,7.0
423-80-0988,c,naypyitaw,normal,male,sports and travel,76.4,2.0,7.64,160.44,19:42,ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,b,mandalay,normal,male,food and beverages,39.9,10.0,19.95,418.95,15:24,credit card,399.0,4.761904762,19.95,5.9
505-02-0892,b,mandalay,member,male,health and beauty,42.57,8.0,17.028,357.588,14:12,ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,c,naypyitaw,normal,male,home and lifestyle,95.58,10.0,47.79,1003.59,13:32,cash,955.8,4.761904762,47.79,4.8
687-47-8271,a,yangon,normal,male,fashion accessories,98.98,10.0,49.49,1039.29,16:20,credit card,989.8,4.761904762,49.49,8.7
796-32-9050,a,yangon,normal,male,food and beverages,51.28,6.0,15.384,323.064,16:31,cash,307.68,4.761904762,15.384,6.5
105-31-1824,a,yangon,member,male,sports and travel,69.52,7.0,24.332,510.972,15:10,credit card,486.64,4.761904762,24.332,8.5
249-42-3782,a,yangon,normal,male,health and beauty,70.01,5.0,17.5025,367.5525,11:36,ewallet,350.05,4.761904762,17.5025,5.5
316-55-4634,b,mandalay,member,male,food and beverages,80.05,5.0,20.0125,420.2625,12:45,credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,c,naypyitaw,normal,male,electronic accessories,20.85,8.0,8.34,175.14,19:17,cash,166.8,4.761904762,8.34,6.3
608-27-6295,b,mandalay,member,male,electronic accessories,52.89,6.0,15.867,333.207,17:34,credit card,317.34,4.761904762,15.867,9.8
414-12-7047,b,mandalay,normal,male,food and beverages,19.79,8.0,7.916,166.236,12:04,ewallet,158.32,4.761904762,7.916,8.7
827-26-2100,a,yangon,member,male,home and lifestyle,33.84,9.0,15.228,319.788,16:21,ewallet,304.56,4.761904762,15.228,8.8
175-54-2529,a,yangon,member,male,food and beverages,22.17,8.0,8.868,186.228,17:01,credit card,177.36,4.761904762,8.868,9.6
139-52-2867,c,naypyitaw,normal,female,fashion accessories,22.51,7.0,7.8785,165.4485,10:50,credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,a,yangon,normal,male,food and beverages,73.88,6.0,22.164,465.444,19:16,ewallet,443.28,4.761904762,22.164,4.4
342-65-4817,c,naypyitaw,member,male,health and beauty,86.8,3.0,13.02,273.42,16:47,ewallet,260.4,4.761904762,13.02,9.9
130-98-8941,c,naypyitaw,normal,male,fashion accessories,64.26,7.0,22.491,472.311,10:00,cash,449.82,4.761904762,22.491,5.7
434-83-9547,c,naypyitaw,member,male,food and beverages,38.47,8.0,15.388,323.148,11:51,cash,307.76,4.761904762,15.388,7.7
851-28-6367,a,yangon,member,male,sports and travel,15.5,10.0,7.75,162.75,10:55,ewallet,155.0,4.761904762,7.75,8.0
824-88-3614,c,naypyitaw,normal,male,health and beauty,34.31,8.0,13.724,288.204,15:00,ewallet,274.48,4.761904762,13.724,5.7
586-25-0848,a,yangon,normal,female,sports and travel,12.34,7.0,4.319,90.699,11:19,credit card,86.38,4.761904762,4.319,6.7
895-66-0685,b,mandalay,member,male,food and beverages,18.08,3.0,2.712,56.952,19:46,ewallet,54.24,4.761904762,2.712,8.0
305-14-0245,b,mandalay,member,female,home and lifestyle,94.49,8.0,37.796,793.716,19:00,ewallet,755.92,4.761904762,37.796,7.5
732-04-5373,b,mandalay,member,male,home and lifestyle,46.47,4.0,9.294,195.174,10:53,cash,185.88,4.761904762,9.294,7.0
400-60-7251,a,yangon,normal,male,home and lifestyle,74.07,1.0,3.7035,77.7735,12:50,ewallet,74.07,4.761904762,3.7035,9.9
593-65-1552,c,naypyitaw,normal,female,home and lifestyle,69.81,4.0,13.962,293.202,20:50,credit card,279.24,4.761904762,13.962,5.9
284-34-9626,b,mandalay,normal,female,home and lifestyle,77.04,3.0,11.556,242.676,10:39,credit card,231.12,4.761904762,11.556,7.2
437-58-8131,b,mandalay,normal,female,fashion accessories,73.52,2.0,7.352,154.392,13:41,ewallet,147.04,4.761904762,7.352,4.6
286-43-6208,c,naypyitaw,normal,female,food and beverages,87.8,9.0,39.51,829.71,19:08,cash,790.2,4.761904762,39.51,9.2
641-43-2399,b,mandalay,normal,male,home and lifestyle,25.55,4.0,5.11,107.31,20:23,ewallet,102.2,4.761904762,5.11,5.7
831-07-6050,a,yangon,normal,male,electronic accessories,32.71,5.0,8.1775,171.7275,11:30,credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,c,naypyitaw,member,female,fashion accessories,74.29,1.0,3.7145,78.0045,19:30,cash,74.29,4.761904762,3.7145,5.0
848-24-9445,c,naypyitaw,member,male,health and beauty,43.7,2.0,4.37,91.77,18:03,cash,87.4,4.761904762,4.37,4.9
856-22-8149,a,yangon,normal,female,home and lifestyle,25.29,1.0,1.2645,26.5545,10:13,ewallet,25.29,4.761904762,1.2645,6.1
699-01-4164,c,naypyitaw,normal,male,health and beauty,41.5,4.0,8.3,174.3,19:58,credit card,166.0,4.761904762,8.3,8.2
420-11-4919,c,naypyitaw,member,female,food and beverages,71.39,5.0,17.8475,374.7975,19:57,credit card,356.95,4.761904762,17.8475,5.5
606-80-4905,c,naypyitaw,member,female,sports and travel,19.15,6.0,5.745,120.645,10:01,credit card,114.9,4.761904762,5.745,6.8
542-41-0513,b,mandalay,member,female,electronic accessories,57.49,4.0,11.498,241.458,11:57,cash,229.96,4.761904762,11.498,6.6
